Flow Duration,Total Fwd Packets,Total Bwd Packets,Total Length Fwd,Fwd Packet Max,Idle Mean,Label
60273,1,1,51,51,0.0,Benign
23798,2,2,154,77,0.0,Benign
545,1,1,51,51,0.0,Benign
10698855,25,20,7978,3120,10600000.0,Benign
466,1,1,88,88,0.0,Benign
31116,2,2,62,31,0.0,Benign
260,3,0,43,31,0.0,Benign
3656894,2,0,12,6,0.0,Benign
666,2,0,12,6,0.0,Benign
32288,4,2,172,43,0.0,Benign
26853,4,2,168,42,0.0,Benign
47204,1,1,56,56,0.0,Benign
133996,4,3,11607,11595,0.0,Benign
242,2,2,54,27,0.0,Benign
9,1,1,0,0,0.0,Benign
176,2,2,78,39,0.0,Benign
31224,1,1,54,54,0.0,Benign
117951,2,2,72,36,0.0,Benign
20510959,157,0,0,0,5001413.0,Benign
98,1,1,0,0,0.0,Benign
221,2,2,64,32,0.0,Benign
188,2,2,94,47,0.0,Benign
71,1,1,0,0,0.0,Benign
161302,1,1,58,58,0.0,Benign
5093977,3,1,12,6,0.0,Benign
115947933,21,19,2123,1524,10200000.0,Benign
119126619,92,131,5910,1090,10000000.0,Benign
39,1,1,0,0,0.0,Benign
203,2,2,78,39,0.0,Benign
19737,1,1,0,0,0.0,Benign
157,2,2,100,50,0.0,Benign
3,2,0,0,0,0.0,Benign
5065433,7,4,635,517,0.0,Benign
1001325,3,3,0,0,0.0,Benign
61,1,1,0,0,0.0,Benign
231,2,2,70,35,0.0,Benign
31174,2,2,64,32,0.0,Benign
31646,2,2,64,32,0.0,Benign
24228,2,2,72,36,0.0,Benign
30751,1,1,46,46,0.0,Benign
50,2,0,12,6,0.0,Benign
118010970,16,17,1266,431,58700000.0,Benign
137717,2,2,64,32,0.0,Benign
21057550,2,2,140,90,20995652.0,Benign
199,2,2,86,43,0.0,Benign
201086,23,47,887,405,0.0,Benign
48766,1,1,43,43,0.0,Benign
47597,2,2,64,32,0.0,Benign
131802,2,0,12,6,0.0,Benign
69,2,0,0,0,0.0,Benign
665,2,2,504,252,0.0,Benign
227447,6,4,667,667,0.0,Benign
164435,4,2,168,42,0.0,Benign
201,2,2,110,55,0.0,Benign
80583545,35,38,4569,1059,10125200.0,Benign
118,1,1,6,6,0.0,Benign
78775,1,1,49,49,0.0,Benign
30927,2,2,84,42,0.0,Benign
60835,1,1,44,44,0.0,Benign
193,2,0,0,0,0.0,Benign
482747,13,10,582,249,0.0,Benign
39165,2,2,1433,1350,0.0,Benign
168106,13,8,910,309,0.0,Benign
59211639,2,2,123,62,59120420.0,Benign
193,2,2,92,46,0.0,Benign
5383500,9,5,356,199,5181867.0,Benign
60146,1,1,45,45,0.0,Benign
308613,1,2,6,6,0.0,Benign
23434,1,1,70,70,0.0,Benign
157806,4,4,152,44,0.0,Benign
726408,7,6,312,282,0.0,Benign
61725,2,2,62,31,0.0,Benign
63021568,2,2,96,48,63000000.0,Benign
245,2,2,68,34,0.0,Benign
115930958,19,18,1187,517,9640571.0,Benign
115607,2,1,12,6,0.0,Benign
4827471,5,1,123,46,0.0,Benign
151,2,0,0,0,0.0,Benign
50441,1,1,0,0,0.0,Benign
99952,1,1,48,48,0.0,Benign
23,1,1,6,6,0.0,Benign
183,2,2,90,45,0.0,Benign
22549,1,1,0,0,0.0,Benign
58420,2,2,56,28,0.0,Benign
69995,1,1,59,59,0.0,Benign
2239037,6,4,310,228,0.0,Benign
252,2,2,66,33,0.0,Benign
31,1,1,6,6,0.0,Benign
148,2,2,76,38,0.0,Benign
205,2,2,82,41,0.0,Benign
91,2,2,94,47,0.0,Benign
49259,3,4,437,437,0.0,Benign
50529,2,2,68,34,0.0,Benign
31364,1,1,55,55,0.0,Benign
162,2,2,72,36,0.0,Benign
246519,3,4,440,440,0.0,Benign
471,3,1,31,31,0.0,Benign
92,1,4,0,0,0.0,Benign
23243,1,1,64,64,0.0,Benign
113574718,20,17,1296,432,10174671.0,Benign
23686,1,1,79,79,0.0,Benign
61093970,18,15,1034,715,10064422.0,Benign
10125706,66,115,777,430,9919481.0,Benign
62269035,7,2,169,46,59000000.0,Benign
92142,2,2,70,35,0.0,Benign
262682,6,5,352,208,0.0,Benign
186,2,2,82,41,0.0,Benign
60084615,16,22,1174,517,9968913.0,Benign
23591,1,1,49,49,0.0,Benign
115378392,16,14,531,447,9975369.0,Benign
299,2,2,62,31,0.0,Benign
35447,2,2,72,36,0.0,Benign
30744,1,1,51,51,0.0,Benign
47305,3,4,429,429,0.0,Benign
199,2,2,76,38,0.0,Benign
3,2,0,0,0,0.0,Benign
79455,2,2,66,33,0.0,Benign
59755,2,2,64,32,0.0,Benign
70109,2,2,82,41,0.0,Benign
82690907,8,10,11607,2920,40400000.0,Benign
79149580,55,84,6274,549,10000000.0,Benign
5855218,9,5,384,227,5531075.0,Benign
441758,8,10,891,517,0.0,Benign
598,1,1,45,45,0.0,Benign
46035595,8,8,486,450,10002819.0,Benign
116549787,30,29,26709,7240,9634131.0,Benign
24139,1,1,81,81,0.0,Benign
48311,1,1,50,50,0.0,Benign
119985939,19,17,1785,637,9900708.0,Benign
50,2,0,0,0,0.0,Benign
282,2,2,84,42,0.0,Benign
31124,2,2,68,34,0.0,Benign
249,2,2,70,35,0.0,Benign
1548877,7,6,2022,1454,0.0,Benign
235398,3,4,2278,2278,0.0,Benign
275455,14,11,700,453,0.0,Benign
5870146,4,2,12,6,0.0,Benign
86015,7,6,1750,1107,0.0,Benign
5626665,7,4,617,517,5515974.0,Benign
10067617,6,5,1151,1133,9770177.0,Benign
5424606,9,5,352,195,5132390.0,Benign
38656,1,1,6,6,0.0,Benign
176,2,2,70,35,0.0,Benign
276,3,0,18,6,0.0,Benign
115733696,21,18,1021,638,10000000.0,Benign
198,2,2,82,41,0.0,Benign
14417789,2,2,106,56,14200000.0,Benign
378,2,0,0,0,0.0,Benign
509,1,1,64,64,0.0,Benign
167,2,2,76,38,0.0,Benign
3960056,2,0,12,6,0.0,Benign
24984226,13,8,1277,725,10000000.0,Benign
177,2,2,70,35,0.0,Benign
78689,1,1,43,43,0.0,Benign
210858,10,8,561,204,0.0,Benign
52,1,3,6,6,0.0,Benign
50932,2,2,58,29,0.0,Benign
69917,2,2,78,39,0.0,Benign
193,2,2,74,37,0.0,Benign
43799,4,4,144,36,0.0,Benign
122539,1,1,52,52,0.0,Benign
5955427,9,5,629,342,5797873.0,Benign
73,1,1,0,0,0.0,Benign
19459,1,1,6,6,0.0,Benign
11019021,34,47,674,482,0.0,Benign
95671,2,2,68,34,0.0,Benign
64511,1,1,51,51,0.0,Benign
2269440,4,4,162,53,0.0,Benign
117593616,33,36,5378,1569,9631993.0,Benign
106193,2,2,74,37,0.0,Benign
177,2,2,64,32,0.0,Benign
31330,2,2,60,30,0.0,Benign
164769,1,1,66,66,0.0,Benign
60969,2,2,52,26,0.0,Benign
34520,2,1,6,6,0.0,Benign
60513,4,2,108,27,0.0,Benign
2399,5,0,75,75,0.0,Benign
46365,1,1,49,49,0.0,Benign
142412,2,1,0,0,0.0,Benign
5820442,7,4,617,517,5720721.0,Benign
112974,1,1,0,0,0.0,Benign
119784715,199,317,28103,2488,10000000.0,Benign
469,1,1,55,55,0.0,Benign
31065,1,1,54,54,0.0,Benign
193,2,2,90,45,0.0,Benign
116293962,21,17,1872,444,9978628.0,Benign
168,2,2,104,52,0.0,Benign
115864533,28,25,821,470,10200000.0,Benign
160,2,2,68,34,0.0,Benign
36800,1,1,48,48,0.0,Benign
174,2,2,72,36,0.0,Benign
