Flow Duration,Total Fwd Packets,Total Bwd Packets,Total Length Fwd,Fwd Packet Max,Idle Mean,Label
8973759,9,15,108,25,0.0,BruteForce
8337533,9,15,112,25,0.0,BruteForce
8898913,9,15,99,20,0.0,BruteForce
9374965,9,15,112,25,0.0,BruteForce
257,2,1,14,14,0.0,BruteForce
8125529,9,15,102,23,0.0,BruteForce
9575049,9,15,110,24,0.0,BruteForce
8554358,9,15,110,26,0.0,BruteForce
8658875,9,15,102,23,0.0,BruteForce
226,2,1,14,14,0.0,BruteForce
8011241,9,15,101,23,0.0,BruteForce
8078785,9,15,114,27,0.0,BruteForce
234,2,1,14,14,0.0,BruteForce
216,2,1,14,14,0.0,BruteForce
8303999,9,15,107,23,0.0,BruteForce
8851396,9,15,110,25,0.0,BruteForce
9104073,9,15,121,27,0.0,BruteForce
217,2,1,14,14,0.0,BruteForce
251,2,1,14,14,0.0,BruteForce
8838660,9,15,120,34,0.0,BruteForce
8149089,9,15,99,23,0.0,BruteForce
8934387,9,15,103,27,0.0,BruteForce
9441445,9,15,102,21,0.0,BruteForce
9451639,9,15,109,26,0.0,BruteForce
213,2,1,14,14,0.0,BruteForce
248,2,1,14,14,0.0,BruteForce
8827458,9,15,105,23,0.0,BruteForce
344,2,1,14,14,0.0,BruteForce
9757535,9,15,107,22,0.0,BruteForce
215,2,1,14,14,0.0,BruteForce
8759105,9,15,106,23,0.0,BruteForce
8906645,9,15,106,23,0.0,BruteForce
8560721,9,15,102,21,0.0,BruteForce
9782955,9,15,102,21,0.0,BruteForce
247,2,1,14,14,0.0,BruteForce
9195943,9,15,111,27,0.0,BruteForce
8676548,9,15,101,20,0.0,BruteForce
247,2,1,14,14,0.0,BruteForce
9093443,9,15,107,23,0.0,BruteForce
8360740,9,15,106,23,0.0,BruteForce
10438785,9,15,110,24,0.0,BruteForce
9157093,9,15,104,23,0.0,BruteForce
8744189,9,15,104,23,0.0,BruteForce
8584214,9,15,110,23,0.0,BruteForce
8607884,9,15,110,29,0.0,BruteForce
237,2,1,14,14,0.0,BruteForce
9151663,9,15,117,29,0.0,BruteForce
258,2,1,14,14,0.0,BruteForce
221,2,1,14,14,0.0,BruteForce
9413858,9,15,105,22,0.0,BruteForce
8984915,9,15,101,21,0.0,BruteForce
237,2,1,14,14,0.0,BruteForce
9068990,9,15,119,29,0.0,BruteForce
259,2,1,14,14,0.0,BruteForce
8139371,9,15,99,20,0.0,BruteForce
9570628,9,15,103,26,0.0,BruteForce
269,2,1,14,14,0.0,BruteForce
8912051,9,15,113,29,0.0,BruteForce
8791140,9,15,97,23,0.0,BruteForce
8769717,9,15,96,19,0.0,BruteForce
251,2,1,14,14,0.0,BruteForce
10137722,9,15,106,22,0.0,BruteForce
9767511,9,15,107,22,0.0,BruteForce
8648017,9,15,106,23,0.0,BruteForce
237,2,1,14,14,0.0,BruteForce
280,2,1,14,14,0.0,BruteForce
8436993,9,15,116,30,0.0,BruteForce
9929883,9,15,111,27,0.0,BruteForce
8850882,9,15,104,22,0.0,BruteForce
8523539,9,15,105,28,0.0,BruteForce
8102670,9,15,103,26,0.0,BruteForce
8706273,9,15,108,23,0.0,BruteForce
8081066,9,15,100,23,0.0,BruteForce
9681765,9,15,107,24,0.0,BruteForce
9182744,9,15,99,21,0.0,BruteForce
263,2,1,14,14,0.0,BruteForce
282,2,1,14,14,0.0,BruteForce
239,2,1,14,14,0.0,BruteForce
214,2,1,14,14,0.0,BruteForce
258,2,1,14,14,0.0,BruteForce
217,2,1,14,14,0.0,BruteForce
9842133,9,15,108,27,0.0,BruteForce
255,2,1,14,14,0.0,BruteForce
9134076,9,15,104,24,0.0,BruteForce
240,2,1,14,14,0.0,BruteForce
240,2,1,14,14,0.0,BruteForce
236,2,1,14,14,0.0,BruteForce
228,2,1,14,14,0.0,BruteForce
196,2,1,14,14,0.0,BruteForce
217,2,1,14,14,0.0,BruteForce
9032628,9,15,106,24,0.0,BruteForce
9807057,9,15,106,25,0.0,BruteForce
9439945,9,15,102,26,0.0,BruteForce
9538923,9,15,106,23,0.0,BruteForce
9210381,9,15,114,28,0.0,BruteForce
8815203,9,15,109,23,0.0,BruteForce
208,2,1,14,14,0.0,BruteForce
9186033,9,15,104,24,0.0,BruteForce
8508463,9,15,101,21,0.0,BruteForce
235,2,1,14,14,0.0,BruteForce
