Flow Duration,Total Fwd Packets,Total Bwd Packets,Total Length Fwd,Fwd Packet Max,Idle Mean,Label
99249674,6,6,387,369,99200000.0,DoS
99032716,6,6,307,307,99000000.0,DoS
361462,4,6,612,306,0.0,DoS
1672350,7,7,1695,339,0.0,DoS
145661,3,6,354,354,0.0,DoS
98799878,5,8,317,305,98800000.0,DoS
98368839,6,5,396,396,98400000.0,DoS
83513144,6,5,318,318,83400000.0,DoS
99610617,5,6,390,378,99600000.0,DoS
2995,6,0,0,0,0.0,DoS
99122649,9,6,320,314,99100000.0,DoS
98616792,7,5,368,362,98600000.0,DoS
99765670,9,6,369,363,99700000.0,DoS
86419094,8,6,302,296,85400000.0,DoS
121503,3,6,367,367,0.0,DoS
48081107,5,6,366,366,24000000.0,DoS
99897476,8,5,374,362,99900000.0,DoS
85748849,6,7,371,359,84700000.0,DoS
98721847,5,7,377,365,98600000.0,DoS
103223500,13,5,1926,319,99900000.0,DoS
83135320,6,5,325,325,83000000.0,DoS
83230087,6,6,395,377,83100000.0,DoS
99482738,6,7,352,334,99300000.0,DoS
661,2,0,0,0,0.0,DoS
168620,3,7,368,368,0.0,DoS
86614646,5,6,325,319,85600000.0,DoS
99864803,9,6,374,374,99700000.0,DoS
98355236,6,5,350,350,98300000.0,DoS
102237546,10,6,1738,344,100000000.0,DoS
98279819,5,7,356,344,98300000.0,DoS
84375262,8,6,317,311,84200000.0,DoS
952,2,0,0,0,0.0,DoS
149640,3,6,368,368,0.0,DoS
99511868,5,7,411,399,99300000.0,DoS
181742,3,6,361,361,0.0,DoS
85323399,6,6,359,359,85200000.0,DoS
100076756,6,6,387,369,99900000.0,DoS
1151435,4,7,346,346,0.0,DoS
99751767,9,5,326,326,99600000.0,DoS
996,3,0,0,0,0.0,DoS
99115059,7,7,325,325,99100000.0,DoS
98354926,7,5,352,346,98300000.0,DoS
98501886,9,6,290,290,98400000.0,DoS
4499,3,6,359,359,0.0,DoS
99599694,5,6,332,320,99600000.0,DoS
98236669,6,5,400,400,98200000.0,DoS
97464649,7,6,341,341,97500000.0,DoS
362613,4,7,648,324,0.0,DoS
31533,3,6,376,376,0.0,DoS
98399800,5,7,354,342,98300000.0,DoS
148648,3,7,361,361,0.0,DoS
58248,6,0,0,0,0.0,DoS
100606681,9,6,688,344,99200000.0,DoS
85156031,7,5,344,338,85000000.0,DoS
12999,3,1,18,6,0.0,DoS
98016416,5,5,364,352,98000000.0,DoS
98693772,6,7,370,352,98600000.0,DoS
100813587,11,6,870,290,100000000.0,DoS
102578578,7,7,384,372,99600000.0,DoS
98502011,8,5,355,355,98500000.0,DoS
98359781,6,6,353,353,98400000.0,DoS
99982648,8,5,362,362,99900000.0,DoS
97880043,6,5,327,327,97800000.0,DoS
47640,3,7,346,346,0.0,DoS
84327088,6,5,291,291,84200000.0,DoS
85162189,5,6,358,346,85000000.0,DoS
95428081,6,6,342,342,95400000.0,DoS
1896,3,5,366,366,0.0,DoS
84640421,5,7,365,353,84500000.0,DoS
1994,6,0,0,0,0.0,DoS
379919,4,6,656,328,0.0,DoS
98248322,6,6,344,344,98100000.0,DoS
99669113,6,6,790,389,99300000.0,DoS
100508653,8,6,330,324,100000000.0,DoS
86086255,4,7,412,406,85900000.0,DoS
100002776,6,6,375,357,99800000.0,DoS
98016882,6,6,325,325,98000000.0,DoS
67925964,5,7,374,362,67800000.0,DoS
100754455,6,7,387,369,101000000.0,DoS
98682690,5,7,407,395,98600000.0,DoS
61603,3,6,367,367,0.0,DoS
151522,3,6,317,317,0.0,DoS
1003497,4,6,357,357,0.0,DoS
84739122,6,7,396,384,83600000.0,DoS
98629281,4,6,381,375,98500000.0,DoS
149541,3,5,360,360,0.0,DoS
12997,3,1,18,6,0.0,DoS
85359274,7,7,371,365,85200000.0,DoS
15521,2,2,12,6,0.0,DoS
99403668,7,6,379,379,99300000.0,DoS
84490139,9,6,354,354,83400000.0,DoS
86237093,6,7,630,309,85900000.0,DoS
98402788,9,6,410,410,98300000.0,DoS
98940717,8,6,620,307,98600000.0,DoS
97892216,6,6,345,345,97700000.0,DoS
83382116,6,6,367,367,83300000.0,DoS
98337657,9,6,346,346,98300000.0,DoS
84,2,0,0,0,0.0,DoS
84624150,8,6,349,349,84500000.0,DoS
85013288,7,6,355,355,84900000.0,DoS
85361275,7,5,325,301,85200000.0,DoS
85075268,7,6,304,298,84900000.0,DoS
99472558,6,7,320,302,99300000.0,DoS
84028108,7,6,750,375,83700000.0,DoS
465,3,0,0,0,0.0,DoS
100168732,6,6,347,347,100000000.0,DoS
149686,3,6,326,326,0.0,DoS
98633738,8,6,330,330,98600000.0,DoS
84773066,9,6,706,353,84400000.0,DoS
98818718,6,6,345,345,98700000.0,DoS
6854,3,4,372,372,0.0,DoS
100548666,11,6,924,306,100000000.0,DoS
98511010,5,6,320,308,98500000.0,DoS
98694782,6,7,330,330,98500000.0,DoS
87180600,8,7,990,330,86600000.0,DoS
98540887,8,6,379,373,98400000.0,DoS
100239756,8,6,326,326,100000000.0,DoS
98712873,6,6,305,287,98700000.0,DoS
100273046,7,7,716,358,99900000.0,DoS
17689271,8,5,1540,308,16000000.0,DoS
97203524,8,6,392,392,97200000.0,DoS
85919312,9,6,369,369,84900000.0,DoS
85381866,8,6,368,368,85200000.0,DoS
100773629,9,6,377,371,101000000.0,DoS
99948614,7,5,344,338,99800000.0,DoS
85102112,9,6,326,326,85000000.0,DoS
100563681,7,7,390,372,99400000.0,DoS
86670177,8,5,378,378,85700000.0,DoS
99742781,8,8,1496,371,98600000.0,DoS
99457657,5,7,365,353,99300000.0,DoS
24948,5,0,0,0,0.0,DoS
1011,6,0,0,0,0.0,DoS
28674,3,7,364,364,0.0,DoS
99750792,6,7,360,348,98600000.0,DoS
982,5,0,0,0,0.0,DoS
98548864,7,7,329,323,98500000.0,DoS
98310884,6,5,329,329,98300000.0,DoS
564509,5,6,1122,374,0.0,DoS
98292746,10,6,308,308,98200000.0,DoS
86208845,6,7,300,288,85200000.0,DoS
1170,5,0,0,0,0.0,DoS
99138709,6,6,349,349,99000000.0,DoS
85477989,8,5,319,319,85300000.0,DoS
99141601,7,6,322,322,99000000.0,DoS
67928584,8,6,375,369,67800000.0,DoS
98741000,7,7,375,369,98700000.0,DoS
98362026,7,5,372,366,98400000.0,DoS
99443843,9,6,353,353,99300000.0,DoS
98701896,7,5,361,361,98600000.0,DoS
98321870,8,7,307,307,98300000.0,DoS
84903102,6,6,295,295,84800000.0,DoS
68607696,6,8,316,298,68300000.0,DoS
84143081,9,7,1074,350,83500000.0,DoS
100042989,5,7,351,339,99900000.0,DoS
1001,5,0,0,0,0.0,DoS
150486,3,5,337,337,0.0,DoS
85760514,9,6,361,361,85600000.0,DoS
99899782,8,7,344,332,99700000.0,DoS
66199880,9,7,361,361,66100000.0,DoS
2000,4,0,6,6,0.0,DoS
86088052,8,7,736,356,85800000.0,DoS
98981352,4,6,338,332,98800000.0,DoS
100899626,9,6,626,310,101000000.0,DoS
98574325,4,6,380,374,98400000.0,DoS
168509,3,6,353,353,0.0,DoS
98710820,9,6,310,304,98600000.0,DoS
98367726,6,8,377,359,98300000.0,DoS
145641,3,6,332,332,0.0,DoS
85483024,8,5,726,360,85100000.0,DoS
15157,2,2,12,6,0.0,DoS
99615671,7,6,352,352,99500000.0,DoS
70,5,0,0,0,0.0,DoS
48095297,5,6,356,356,24000000.0,DoS
85718169,7,7,740,361,85300000.0,DoS
352519,4,5,710,355,0.0,DoS
99333687,5,7,364,352,99300000.0,DoS
83941097,8,6,346,340,83800000.0,DoS
84038322,6,7,370,358,83000000.0,DoS
98361795,8,6,357,351,98400000.0,DoS
98691693,6,6,354,336,98600000.0,DoS
85316976,7,7,400,400,84200000.0,DoS
98410556,6,5,394,376,98400000.0,DoS
3001997,5,7,373,373,0.0,DoS
84547259,6,7,365,347,84400000.0,DoS
85012998,7,5,357,351,84900000.0,DoS
99254726,6,7,365,347,99200000.0,DoS
16223213,4,7,316,316,16000000.0,DoS
85409130,8,6,357,357,85300000.0,DoS
99533634,5,5,369,357,99400000.0,DoS
102515492,8,1,0,0,99500000.0,DoS
86027096,6,7,293,293,85900000.0,DoS
97541787,5,7,341,329,97500000.0,DoS
40526,3,6,296,296,0.0,DoS
86435625,6,7,329,329,86300000.0,DoS
68318605,6,5,307,307,68200000.0,DoS
149700,3,6,344,344,0.0,DoS
100346861,5,8,340,328,100000000.0,DoS
101149017,8,8,1380,342,100000000.0,DoS
82992122,9,6,319,319,82800000.0,DoS
84656149,7,6,392,392,84500000.0,DoS
