Flow Duration,Total Fwd Packets,Total Bwd Packets,Total Length Fwd,Fwd Packet Max,Idle Mean,Label
218,1,1,2,2,0.0,PortScan
793,3,1,0,0,0.0,PortScan
12799,4,2,0,0,0.0,PortScan
453,2,1,8,6,0.0,PortScan
694,2,1,8,6,0.0,PortScan
479,3,1,0,0,0.0,PortScan
782,3,1,0,0,0.0,PortScan
680,2,1,8,6,0.0,PortScan
2435,5,0,0,0,0.0,PortScan
62,1,1,2,2,0.0,PortScan
94,1,1,0,0,0.0,PortScan
547,2,1,8,6,0.0,PortScan
22641,4,2,0,0,0.0,PortScan
507,2,1,8,6,0.0,PortScan
137,1,1,0,0,0.0,PortScan
537,2,1,8,6,0.0,PortScan
699,3,1,0,0,0.0,PortScan
203,1,1,2,2,0.0,PortScan
62,1,1,0,0,0.0,PortScan
650,3,1,0,0,0.0,PortScan
762,3,1,0,0,0.0,PortScan
151,1,1,0,0,0.0,PortScan
503,3,1,0,0,0.0,PortScan
944,3,1,0,0,0.0,PortScan
18426635,2,2,0,0,18400000.0,PortScan
456,3,1,0,0,0.0,PortScan
41,1,1,2,2,0.0,PortScan
77014396,2,2,2,2,77000000.0,PortScan
785,3,1,0,0,0.0,PortScan
123,1,1,2,2,0.0,PortScan
577,2,1,8,6,0.0,PortScan
516,2,1,8,6,0.0,PortScan
817,1,1,0,0,0.0,PortScan
666,2,1,8,6,0.0,PortScan
710,2,1,8,6,0.0,PortScan
37,1,1,0,0,0.0,PortScan
156,1,1,0,0,0.0,PortScan
936,3,1,0,0,0.0,PortScan
449,2,1,8,6,0.0,PortScan
67,1,1,0,0,0.0,PortScan
2475,6,0,0,0,0.0,PortScan
545,1,1,0,0,0.0,PortScan
401,2,1,8,6,0.0,PortScan
56452718,2,2,0,0,56500000.0,PortScan
461,2,1,8,6,0.0,PortScan
601,3,1,0,0,0.0,PortScan
160,1,1,2,2,0.0,PortScan
93,1,1,0,0,0.0,PortScan
502,3,1,0,0,0.0,PortScan
773,2,1,8,6,0.0,PortScan
38,1,1,0,0,0.0,PortScan
656,3,1,0,0,0.0,PortScan
572,2,1,8,6,0.0,PortScan
6005443,3,6,18,18,6004010.0,PortScan
536,3,1,0,0,0.0,PortScan
560,2,1,8,6,0.0,PortScan
106,1,1,0,0,0.0,PortScan
576,2,1,8,6,0.0,PortScan
18423976,2,2,0,0,18400000.0,PortScan
11011532,4,2,18,18,6005468.0,PortScan
783,3,1,0,0,0.0,PortScan
96,1,1,0,0,0.0,PortScan
516,2,1,8,6,0.0,PortScan
56452359,2,2,0,0,56500000.0,PortScan
141,1,1,2,2,0.0,PortScan
683,3,1,0,0,0.0,PortScan
18364845,2,2,0,0,18400000.0,PortScan
801,3,1,0,0,0.0,PortScan
71,1,1,2,2,0.0,PortScan
6008573,3,6,18,18,6007144.0,PortScan
898,3,1,0,0,0.0,PortScan
782,2,1,8,6,0.0,PortScan
878,2,1,8,6,0.0,PortScan
699,2,1,8,6,0.0,PortScan
533,2,1,8,6,0.0,PortScan
960,3,1,0,0,0.0,PortScan
597,3,1,0,0,0.0,PortScan
6363,5,3,168,168,0.0,PortScan
886,3,1,0,0,0.0,PortScan
6296,5,3,168,168,0.0,PortScan
19519,6,0,0,0,0.0,PortScan
149,1,1,2,2,0.0,PortScan
114994363,2,2,2,2,115000000.0,PortScan
734,3,1,0,0,0.0,PortScan
144,1,1,0,0,0.0,PortScan
517,2,1,8,6,0.0,PortScan
539,2,1,8,6,0.0,PortScan
15,1,1,2,2,0.0,PortScan
477,3,1,0,0,0.0,PortScan
89,1,1,2,2,0.0,PortScan
109,1,1,0,0,0.0,PortScan
85,1,1,0,0,0.0,PortScan
162,1,1,0,0,0.0,PortScan
108,1,1,2,2,0.0,PortScan
38068358,2,2,0,0,38100000.0,PortScan
1022,3,1,0,0,0.0,PortScan
899,3,1,0,0,0.0,PortScan
437,2,1,8,6,0.0,PortScan
156,1,1,2,2,0.0,PortScan
537,3,1,0,0,0.0,PortScan
733,3,1,0,0,0.0,PortScan
92026344,2,2,0,0,92000000.0,PortScan
18419889,2,2,0,0,18400000.0,PortScan
729,3,1,0,0,0.0,PortScan
633,3,1,0,0,0.0,PortScan
159,1,1,0,0,0.0,PortScan
30,1,1,2,2,0.0,PortScan
887,3,1,0,0,0.0,PortScan
599,2,1,8,6,0.0,PortScan
691,2,1,8,6,0.0,PortScan
5001493,3,1,0,0,0.0,PortScan
586,3,1,0,0,0.0,PortScan
36772195,2,2,0,0,36800000.0,PortScan
347,1,1,0,0,0.0,PortScan
93,1,1,0,0,0.0,PortScan
2360,6,5,62,62,0.0,PortScan
18827,5,0,0,0,0.0,PortScan
544,2,1,8,6,0.0,PortScan
42,1,1,2,2,0.0,PortScan
154,1,1,2,2,0.0,PortScan
648,2,1,8,6,0.0,PortScan
687,2,1,8,6,0.0,PortScan
907,3,1,0,0,0.0,PortScan
650,2,1,8,6,0.0,PortScan
142,1,1,0,0,0.0,PortScan
622,2,1,8,6,0.0,PortScan
492,2,1,8,6,0.0,PortScan
74900376,2,2,0,0,74900000.0,PortScan
671,3,1,0,0,0.0,PortScan
575,2,1,8,6,0.0,PortScan
970,3,1,0,0,0.0,PortScan
522,2,1,8,6,0.0,PortScan
476,2,1,8,6,0.0,PortScan
462,2,1,8,6,0.0,PortScan
942,3,1,0,0,0.0,PortScan
675,2,1,8,6,0.0,PortScan
73595865,2,2,0,0,73600000.0,PortScan
369278,3,7,18,18,0.0,PortScan
679,3,1,0,0,0.0,PortScan
638,3,1,0,0,0.0,PortScan
132,1,1,0,0,0.0,PortScan
76,1,1,0,0,0.0,PortScan
526,3,1,0,0,0.0,PortScan
861,2,1,8,6,0.0,PortScan
73603082,2,2,0,0,73600000.0,PortScan
485,2,1,8,6,0.0,PortScan
1145,3,1,0,0,0.0,PortScan
542,2,1,8,6,0.0,PortScan
610,2,1,8,6,0.0,PortScan
18438948,2,2,0,0,18400000.0,PortScan
122,1,1,0,0,0.0,PortScan
151,1,1,0,0,0.0,PortScan
711577,3,6,18,18,0.0,PortScan
772,3,1,0,0,0.0,PortScan
12043,4,2,0,0,0.0,PortScan
28270,4,2,0,0,0.0,PortScan
61,1,1,0,0,0.0,PortScan
18423190,2,2,0,0,18400000.0,PortScan
66,1,1,2,2,0.0,PortScan
580,2,1,8,6,0.0,PortScan
640,3,1,0,0,0.0,PortScan
477,3,1,0,0,0.0,PortScan
9683,4,2,0,0,0.0,PortScan
18395917,2,2,0,0,18400000.0,PortScan
6028684,5,3,168,168,6006860.0,PortScan
1003,3,1,0,0,0.0,PortScan
117,1,1,2,2,0.0,PortScan
708,3,1,0,0,0.0,PortScan
12557,4,2,0,0,0.0,PortScan
818,2,1,8,6,0.0,PortScan
1186,3,1,0,0,0.0,PortScan
733,3,1,0,0,0.0,PortScan
19850,5,0,0,0,0.0,PortScan
11008876,4,2,18,18,6006341.0,PortScan
552,3,1,0,0,0.0,PortScan
116562836,2,2,2,2,117000000.0,PortScan
36,1,1,0,0,0.0,PortScan
11011349,4,2,18,18,6007126.0,PortScan
18396389,2,2,0,0,18400000.0,PortScan
6,1,1,2,2,0.0,PortScan
94004622,2,2,2,2,94000000.0,PortScan
194,1,1,0,0,0.0,PortScan
793,2,1,8,6,0.0,PortScan
616,2,1,8,6,0.0,PortScan
74888475,2,2,0,0,74900000.0,PortScan
569,2,1,8,6,0.0,PortScan
14430,4,2,0,0,0.0,PortScan
36771952,2,2,0,0,36800000.0,PortScan
1865,6,5,62,62,0.0,PortScan
107119913,2,2,2,2,107000000.0,PortScan
484,3,1,0,0,0.0,PortScan
787,1,1,0,0,0.0,PortScan
46,1,1,0,0,0.0,PortScan
45,1,1,0,0,0.0,PortScan
2441,5,0,0,0,0.0,PortScan
